Pixel,WL,Used,ADC(1)
1,451.667,1,61.44578313
2,451.945,1,17.46987952
3,452.223,1,34.3373494
4,452.5,1,60.24096386
5,452.778,1,4.21686747
6,453.056,1,1.807228916
7,453.334,1,190.3614458
8,453.611,1,125.3012048
9,453.889,1,118.6746988
10,454.167,1,103.6144578
11,454.445,1,128.9156627
12,454.722,1,207.8313253
13,455,1,117.4698795
14,455.278,1,88.55421687
15,455.556,1,108.4337349
16,455.834,1,184.3373494
17,456.111,1,190.9638554
18,456.389,1,83.73493976
19,456.667,1,329.5180723
20,456.945,1,196.3855422
21,457.222,1,219.2771084
22,457.5,1,136.746988
23,457.778,1,178.313253
24,458.056,1,265.060241
25,458.333,1,177.7108434
26,458.611,1,190.9638554
27,458.889,1,169.8795181
28,459.167,1,236.1445783
29,459.445,1,264.4578313
30,459.722,1,170.4819277
31,460,1,350.6024096
32,460.278,1,265.6626506
33,460.556,1,203.0120482
34,460.833,1,184.3373494
35,461.111,1,151.2048193
36,461.389,1,262.6506024
37,461.667,1,233.1325301
38,461.945,1,286.746988
39,462.222,1,237.9518072
40,462.5,1,225.3012048
41,462.778,1,322.2891566
42,463.056,1,148.7951807
43,463.333,1,266.8674699
44,463.611,1,214.4578313
45,463.889,1,277.1084337
46,464.167,1,293.373494
47,464.445,1,193.373494
48,464.722,1,270.4819277
49,465,1,280.1204819
50,465.278,1,237.9518072
51,465.556,1,227.1084337
52,465.833,1,221.686747
53,466.111,1,252.4096386
54,466.389,1,187.3493976
55,466.667,1,303.6144578
56,466.945,1,239.7590361
57,467.222,1,248.1927711
58,467.5,1,262.0481928
59,467.778,1,230.7228916
60,468.056,1,296.9879518
61,468.333,1,144.5783133
62,468.611,1,269.8795181
63,468.889,1,239.1566265
64,469.167,1,154.8192771
65,469.445,1,296.9879518
66,469.722,1,184.3373494
67,470,1,366.8674699
68,470.244,1,280.1204819
69,470.488,1,266.8674699
70,470.732,1,250
71,470.976,1,248.1927711
72,471.22,1,239.7590361
73,471.463,1,259.0361446
74,471.707,1,219.8795181
75,471.951,1,254.8192771
76,472.195,1,273.4939759
77,472.439,1,262.6506024
78,472.683,1,215.060241
79,472.927,1,300.6024096
80,473.171,1,264.4578313
81,473.415,1,234.3373494
82,473.659,1,206.626506
83,473.902,1,266.8674699
84,474.146,1,203.0120482
85,474.39,1,227.1084337
86,474.634,1,259.6385542
87,474.878,1,336.746988
88,475.122,1,308.4337349
89,475.366,1,250
90,475.61,1,183.7349398
91,475.854,1,257.2289157
92,476.098,1,307.8313253
93,476.342,1,215.060241
94,476.585,1,295.7831325
95,476.829,1,257.2289157
96,477.073,1,235.5421687
97,477.317,1,295.1807229
98,477.561,1,227.1084337
99,477.805,1,306.0240964
100,478.049,1,265.060241
101,478.293,1,233.1325301
102,478.537,1,186.1445783
103,478.781,1,300
104,479.024,1,301.2048193
105,479.268,1,298.7951807
106,479.512,1,222.2891566
107,479.756,1,272.8915663
108,480,1,292.7710843
109,480.25,1,254.8192771
110,480.5,1,278.9156627
111,480.75,1,257.2289157
112,481,1,253.6144578
113,481.25,1,309.0361446
114,481.5,1,240.3614458
115,481.75,1,286.1445783
116,482,1,316.2650602
117,482.25,1,245.7831325
118,482.5,1,267.4698795
119,482.75,1,315.060241
120,483,1,196.9879518
121,483.25,1,260.8433735
122,483.5,1,204.2168675
123,483.75,1,204.8192771
124,484,1,413.8554217
125,484.25,1,264.4578313
126,484.5,1,289.7590361
127,484.75,1,240.3614458
128,485,1,327.7108434
129,485.25,1,339.7590361
130,485.5,1,236.746988
131,485.75,1,236.1445783
132,486,1,221.686747
133,486.25,1,215.6626506
134,486.5,1,243.9759036
135,486.75,1,245.1807229
136,487,1,344.5783133
137,487.25,1,327.1084337
138,487.5,1,257.2289157
139,487.75,1,220.4819277
140,488,1,257.2289157
141,488.25,1,294.5783133
142,488.5,1,217.4698795
143,488.75,1,239.1566265
144,489,1,224.0963855
145,489.25,1,301.8072289
146,489.5,1,337.3493976
147,489.75,1,265.060241
148,490,1,353.6144578
149,490.217,1,287.3493976
150,490.435,1,316.2650602
151,490.652,1,262.0481928
152,490.87,1,228.9156627
153,491.087,1,255.4216867
154,491.304,1,245.7831325
155,491.522,1,295.7831325
156,491.739,1,281.9277108
157,491.957,1,248.7951807
158,492.174,1,364.4578313
159,492.391,1,241.5662651
160,492.609,1,269.8795181
161,492.826,1,259.6385542
162,493.044,1,245.1807229
163,493.261,1,305.4216867
164,493.478,1,267.4698795
165,493.696,1,245.1807229
166,493.913,1,316.2650602
167,494.13,1,298.7951807
168,494.348,1,276.5060241
169,494.565,1,262.6506024
170,494.783,1,297.5903614
171,495,1,238.5542169
172,495.217,1,336.1445783
173,495.435,1,275.3012048
174,495.652,1,311.4457831
175,495.87,1,294.5783133
176,496.087,1,295.7831325
177,496.304,1,330.7228916
178,496.522,1,295.7831325
179,496.739,1,339.7590361
180,496.957,1,246.3855422
181,497.174,1,152.4096386
182,497.391,1,331.9277108
183,497.609,1,295.1807229
184,497.826,1,378.9156627
185,498.044,1,264.4578313
186,498.261,1,271.686747
187,498.478,1,350.6024096
188,498.696,1,287.3493976
189,498.913,1,234.3373494
190,499.13,1,242.7710843
191,499.348,1,286.1445783
192,499.565,1,303.0120482
193,499.783,1,258.4337349
194,500,1,295.7831325
195,500.27,1,241.5662651
196,500.541,1,368.0722892
197,500.811,1,283.7349398
198,501.081,1,292.7710843
199,501.351,1,350
200,501.622,1,231.9277108
201,501.892,1,265.6626506
202,502.162,1,189.7590361
203,502.432,1,286.1445783
204,502.703,1,356.0240964
205,502.973,1,328.313253
206,503.243,1,332.5301205
207,503.514,1,221.686747
208,503.784,1,375.9036145
209,504.054,1,295.7831325
210,504.324,1,260.8433735
211,504.595,1,301.2048193
212,504.865,1,276.5060241
213,505.135,1,166.8674699
214,505.405,1,328.313253
215,505.676,1,353.6144578
216,505.946,1,372.8915663
217,506.216,1,276.5060241
218,506.487,1,290.9638554
219,506.757,1,240.3614458
220,507.027,1,348.7951807
221,507.297,1,275.3012048
222,507.568,1,246.9879518
223,507.838,1,336.1445783
224,508.108,1,269.8795181
225,508.378,1,336.1445783
226,508.649,1,343.9759036
227,508.919,1,350.6024096
228,509.189,1,354.8192771
229,509.46,1,286.1445783
230,509.73,1,317.4698795
231,510,1,364.4578313
232,510.244,1,375.9036145
233,510.488,1,365.6626506
234,510.732,1,328.9156627
235,510.976,1,344.5783133
236,511.22,1,415.060241
237,511.463,1,386.1445783
238,511.707,1,334.3373494
239,511.951,1,319.8795181
240,512.195,1,368.0722892
241,512.439,1,442.1686747
242,512.683,1,455.4216867
243,512.927,1,448.1927711
244,513.171,1,398.1927711
245,513.415,1,393.9759036
246,513.659,1,510.2409639
247,513.903,1,462.6506024
248,514.146,1,501.8072289
249,514.39,1,364.4578313
250,514.634,1,377.7108434
251,514.878,1,422.8915663
252,515.122,1,518.6746988
253,515.366,1,604.8192771
254,515.61,1,541.5662651
255,515.854,1,558.4337349
256,516.098,1,566.2650602
257,516.342,1,623.4939759
258,516.585,1,584.939759
259,516.829,1,580.1204819
260,517.073,1,647.5903614
261,517.317,1,540.9638554
262,517.561,1,712.0481928
263,517.805,1,737.9518072
264,518.049,1,700.6024096
265,518.293,1,921.0843373
266,518.537,1,768.0722892
267,518.781,1,825.9036145
268,519.024,1,830.7228916
269,519.268,1,823.4939759
270,519.512,1,903.6144578
271,519.756,1,859.6385542
272,520,1,972.8915663
273,520.263,1,1044.578313
274,520.526,1,989.7590361
275,520.79,1,1168.072289
276,521.053,1,1063.253012
277,521.316,1,1165.060241
278,521.579,1,1133.13253
279,521.842,1,1166.86747
280,522.105,1,1145.180723
281,522.368,1,1067.46988
282,522.632,1,1225.903614
283,522.895,1,1357.228916
284,523.158,1,1424.698795
285,523.421,1,1322.891566
286,523.684,1,1327.710843
287,523.947,1,1490.963855
288,524.211,1,1364.457831
289,524.474,1,1405.421687
290,524.737,1,1478.313253
291,525,1,1384.939759
292,525.263,1,1436.746988
293,525.526,1,1389.759036
294,525.79,1,1577.710843
295,526.053,1,1642.771084
296,526.316,1,1628.313253
297,526.579,1,1453.012048
298,526.842,1,1410.843373
299,527.105,1,1713.253012
300,527.368,1,1699.39759
301,527.632,1,1864.457831
302,527.895,1,1833.73494
303,528.158,1,1689.759036
304,528.421,1,1782.53012
305,528.684,1,1703.012048
306,528.947,1,1837.951807
307,529.211,1,2090.963855
308,529.474,1,2053.614458
309,529.737,1,2045.783133
310,530,1,1962.048193
311,530.286,1,2037.951807
312,530.571,1,2043.373494
313,530.857,1,2095.783133
314,531.143,1,2067.46988
315,531.429,1,2233.13253
316,531.714,1,2300.60241
317,532,1,2182.53012
318,532.286,1,2244.578313
319,532.571,1,2296.987952
320,532.857,1,2195.783133
321,533.143,1,2321.686747
322,533.429,1,2005.421687
323,533.714,1,2293.975904
324,534,1,2368.072289
325,534.286,1,2372.891566
326,534.571,1,2238.554217
327,534.857,1,2378.915663
328,535.143,1,2322.289157
329,535.429,1,2220.481928
330,535.714,1,2082.53012
331,536,1,2453.614458
332,536.286,1,2604.819277
333,536.571,1,2526.506024
334,536.857,1,2672.891566
335,537.143,1,2671.686747
336,537.429,1,2500.60241
337,537.714,1,2598.192771
338,538,1,2512.650602
339,538.286,1,2560.843373
340,538.571,1,2543.975904
341,538.857,1,2549.39759
342,539.143,1,2542.771084
343,539.429,1,2787.349398
344,539.714,1,2765.662651
345,540,1,2704.216867
346,540.286,1,2807.228916
347,540.571,1,2774.096386
348,540.857,1,2807.228916
349,541.143,1,2906.024096
350,541.429,1,2818.674699
351,541.714,1,2828.313253
352,542,1,2792.771084
353,542.286,1,2939.156627
354,542.571,1,2905.421687
355,542.857,1,2637.951807
356,543.143,1,2642.771084
357,543.429,1,2831.325301
358,543.714,1,2739.759036
359,544,1,3004.819277
360,544.286,1,3151.204819
361,544.571,1,3139.156627
362,544.857,1,2860.843373
363,545.143,1,2975.301205
364,545.429,1,3092.168675
365,545.714,1,3062.048193
366,546,1,2862.650602
367,546.286,1,2896.385542
368,546.571,1,2880.120482
369,546.857,1,2781.325301
370,547.143,1,3066.86747
371,547.429,1,3013.855422
372,547.714,1,2850
373,548,1,2987.349398
374,548.286,1,3027.108434
375,548.571,1,2864.457831
376,548.857,1,2768.674699
377,549.143,1,2865.060241
378,549.429,1,2894.578313
379,549.714,1,2869.879518
380,550,1,2995.783133
381,550.313,1,2895.180723
382,550.625,1,2963.855422
383,550.938,1,2981.325301
384,551.25,1,2907.831325
385,551.563,1,2806.626506
386,551.875,1,2793.975904
387,552.188,1,2881.325301
388,552.5,1,2972.289157
389,552.813,1,2706.626506
