Pixel,WL,Used,ADC(1)
1,451.667,1,130.7228916
2,451.945,1,80.12048193
3,452.223,1,33.73493976
4,452.5,1,101.8072289
5,452.778,1,34.93975904
6,453.056,1,30.72289157
7,453.334,1,213.8554217
8,453.611,1,152.4096386
9,453.889,1,181.3253012
10,454.167,1,146.9879518
11,454.445,1,183.7349398
12,454.722,1,234.939759
13,455,1,157.2289157
14,455.278,1,186.746988
15,455.556,1,141.5662651
16,455.834,1,215.6626506
17,456.111,1,221.686747
18,456.389,1,120.4819277
19,456.667,1,358.4337349
20,456.945,1,222.2891566
21,457.222,1,243.373494
22,457.5,1,156.626506
23,457.778,1,219.2771084
24,458.056,1,285.5421687
25,458.333,1,197.5903614
26,458.611,1,215.060241
27,458.889,1,186.746988
28,459.167,1,269.2771084
29,459.445,1,272.2891566
30,459.722,1,206.0240964
31,460,1,387.9518072
32,460.278,1,287.3493976
33,460.556,1,219.2771084
34,460.833,1,226.5060241
35,461.111,1,189.7590361
36,461.389,1,318.6746988
37,461.667,1,277.1084337
38,461.945,1,321.0843373
39,462.222,1,260.2409639
40,462.5,1,248.1927711
41,462.778,1,357.2289157
42,463.056,1,148.1927711
43,463.333,1,306.626506
44,463.611,1,242.7710843
45,463.889,1,295.7831325
46,464.167,1,319.8795181
47,464.445,1,209.6385542
48,464.722,1,295.1807229
49,465,1,316.8674699
50,465.278,1,249.3975904
51,465.556,1,246.9879518
52,465.833,1,233.7349398
53,466.111,1,274.0963855
54,466.389,1,210.2409639
55,466.667,1,346.9879518
56,466.945,1,221.686747
57,467.222,1,263.253012
58,467.5,1,292.1686747
59,467.778,1,253.6144578
60,468.056,1,322.2891566
61,468.333,1,187.9518072
62,468.611,1,300
63,468.889,1,268.6746988
64,469.167,1,180.7228916
65,469.445,1,307.2289157
66,469.722,1,198.7951807
67,470,1,380.1204819
68,470.244,1,280.1204819
69,470.488,1,281.3253012
70,470.732,1,298.1927711
71,470.976,1,251.2048193
72,471.22,1,240.3614458
73,471.463,1,265.6626506
74,471.707,1,201.8072289
75,471.951,1,248.7951807
76,472.195,1,270.4819277
77,472.439,1,245.1807229
78,472.683,1,221.686747
79,472.927,1,295.7831325
80,473.171,1,282.5301205
81,473.415,1,237.9518072
82,473.659,1,198.7951807
83,473.902,1,229.5180723
84,474.146,1,189.1566265
85,474.39,1,206.0240964
86,474.634,1,246.9879518
87,474.878,1,341.5662651
88,475.122,1,326.5060241
89,475.366,1,264.4578313
90,475.61,1,191.5662651
91,475.854,1,284.3373494
92,476.098,1,297.5903614
93,476.342,1,212.0481928
94,476.585,1,298.7951807
95,476.829,1,257.2289157
96,477.073,1,222.8915663
97,477.317,1,301.8072289
98,477.561,1,225.9036145
99,477.805,1,303.6144578
100,478.049,1,242.7710843
101,478.293,1,194.5783133
102,478.537,1,183.7349398
103,478.781,1,299.3975904
104,479.024,1,284.939759
105,479.268,1,287.3493976
106,479.512,1,211.4457831
107,479.756,1,257.8313253
108,480,1,290.9638554
109,480.25,1,260.8433735
110,480.5,1,265.6626506
111,480.75,1,237.9518072
112,481,1,217.4698795
113,481.25,1,336.1445783
114,481.5,1,249.3975904
115,481.75,1,300
116,482,1,307.8313253
117,482.25,1,259.0361446
118,482.5,1,243.9759036
119,482.75,1,306.626506
120,483,1,186.1445783
121,483.25,1,247.5903614
122,483.5,1,194.5783133
123,483.75,1,188.5542169
124,484,1,400
125,484.25,1,262.6506024
126,484.5,1,310.2409639
127,484.75,1,242.7710843
128,485,1,315.060241
129,485.25,1,333.1325301
130,485.5,1,227.7108434
131,485.75,1,221.0843373
132,486,1,214.4578313
133,486.25,1,207.2289157
134,486.5,1,233.7349398
135,486.75,1,239.7590361
136,487,1,339.1566265
137,487.25,1,333.7349398
138,487.5,1,237.9518072
139,487.75,1,219.2771084
140,488,1,233.1325301
141,488.25,1,290.3614458
142,488.5,1,231.9277108
143,488.75,1,233.7349398
144,489,1,211.4457831
145,489.25,1,287.3493976
146,489.5,1,316.2650602
147,489.75,1,248.7951807
148,490,1,346.3855422
149,490.217,1,277.7108434
150,490.435,1,292.1686747
151,490.652,1,242.1686747
152,490.87,1,200
153,491.087,1,235.5421687
154,491.304,1,237.3493976
155,491.522,1,266.2650602
156,491.739,1,250
157,491.957,1,219.2771084
158,492.174,1,341.5662651
159,492.391,1,226.5060241
160,492.609,1,252.4096386
161,492.826,1,251.8072289
162,493.044,1,226.5060241
163,493.261,1,292.7710843
164,493.478,1,245.1807229
165,493.696,1,239.1566265
166,493.913,1,308.4337349
167,494.13,1,315.060241
168,494.348,1,277.1084337
169,494.565,1,257.2289157
170,494.783,1,277.7108434
171,495,1,198.1927711
172,495.217,1,327.1084337
173,495.435,1,250.6024096
174,495.652,1,281.3253012
175,495.87,1,270.4819277
176,496.087,1,266.2650602
177,496.304,1,305.4216867
178,496.522,1,259.6385542
179,496.739,1,300.6024096
180,496.957,1,201.8072289
181,497.174,1,119.2771084
182,497.391,1,293.9759036
183,497.609,1,228.313253
184,497.826,1,331.9277108
185,498.044,1,222.2891566
186,498.261,1,217.4698795
187,498.478,1,303.6144578
188,498.696,1,254.8192771
189,498.913,1,194.5783133
190,499.13,1,200.6024096
191,499.348,1,242.1686747
192,499.565,1,222.2891566
193,499.783,1,237.9518072
194,500,1,260.2409639
195,500.27,1,204.2168675
196,500.541,1,346.3855422
197,500.811,1,242.7710843
198,501.081,1,252.4096386
199,501.351,1,265.6626506
200,501.622,1,146.9879518
201,501.892,1,207.8313253
202,502.162,1,135.5421687
203,502.432,1,211.4457831
204,502.703,1,311.4457831
205,502.973,1,267.4698795
206,503.243,1,285.5421687
207,503.514,1,151.2048193
208,503.784,1,307.2289157
209,504.054,1,243.9759036
