Pixel,WL,Used,ADC(1)
306,528.947,1,324
307,529.211,1,386
308,529.474,1,372
309,529.737,1,356
310,530,1,348
311,530.286,1,514
312,530.571,1,284
313,530.857,1,393
314,531.143,1,410
315,531.429,1,454
316,531.714,1,583
317,532,1,210
318,532.286,1,329
319,532.571,1,331
320,532.857,1,293
321,533.143,1,507
322,533.429,1,248
323,533.714,1,458
324,534,1,340
325,534.286,1,491
326,534.571,1,430
327,534.857,1,378
328,535.143,1,472
329,535.429,1,304
330,535.714,1,156
331,536,1,376
332,536.286,1,469
333,536.571,1,459
334,536.857,1,409
335,537.143,1,439
336,537.429,1,336
337,537.714,1,431
338,538,1,299
339,538.286,1,320
340,538.571,1,409
341,538.857,1,317
342,539.143,1,370
343,539.429,1,452
344,539.714,1,482
345,540,1,408
346,540.286,1,278
347,540.571,1,436
348,540.857,1,317
349,541.143,1,395
350,541.429,1,391
351,541.714,1,362
352,542,1,452
353,542.286,1,496
354,542.571,1,443
355,542.857,1,468
356,543.143,1,371
357,543.429,1,292
358,543.714,1,427
359,544,1,459
360,544.286,1,462
361,544.571,1,398
362,544.857,1,290
363,545.143,1,498
364,545.429,1,434
365,545.714,1,489
366,546,1,358
367,546.286,1,280
368,546.571,1,346
369,546.857,1,409
370,547.143,1,500
371,547.429,1,457
372,547.714,1,406
373,548,1,372
374,548.286,1,478
375,548.571,1,514
376,548.857,1,320
377,549.143,1,364
378,549.429,1,255
379,549.714,1,414
380,550,1,445
381,550.313,1,348
382,550.625,1,497
383,550.938,1,474
384,551.25,1,464
385,551.563,1,366
386,551.875,1,306
387,552.188,1,309
388,552.5,1,370
389,552.813,1,367
390,553.125,1,346
391,553.438,1,422
392,553.75,1,567
393,554.063,1,399
394,554.375,1,440
395,554.688,1,411
396,555,1,350
397,555.313,1,340
398,555.625,1,234
399,555.938,1,288
400,556.25,1,373
401,556.563,1,436
402,556.875,1,351
403,557.188,1,450
404,557.5,1,470
405,557.813,1,330
406,558.125,1,362
407,558.438,1,338
408,558.75,1,419
409,559.063,1,259
410,559.375,1,300
411,559.688,1,340
412,560,1,471
413,560.294,1,451
414,560.588,1,379
415,560.882,1,375
416,561.177,1,450
417,561.471,1,294
418,561.765,1,309
419,562.059,1,446
420,562.353,1,414
421,562.647,1,354
422,562.941,1,324
423,563.235,1,366
424,563.529,1,434
425,563.824,1,402
426,564.118,1,259
427,564.412,1,304
428,564.706,1,518
429,565,1,226
430,565.294,1,402
431,565.588,1,327
432,565.882,1,550
433,566.177,1,574
434,566.471,1,341
435,566.765,1,382
436,567.059,1,279
437,567.353,1,253
438,567.647,1,414
439,567.941,1,336
440,568.235,1,499
441,568.529,1,208
442,568.824,1,327
443,569.118,1,381
