Pixel,WL,Used,ADC(1)
1,451.667,1,1786.26506
2,451.945,1,1827.951807
3,452.223,1,1867.951807
4,452.5,1,1985.783133
5,452.778,1,1852.53012
6,453.056,1,1852.771084
7,453.334,1,1949.39759
8,453.611,1,1951.325301
9,453.889,1,2021.204819
10,454.167,1,2135.903614
11,454.445,1,2228.915663
12,454.722,1,2176.385542
13,455,1,2145.060241
14,455.278,1,2199.036145
15,455.556,1,2313.253012
16,455.834,1,2337.349398
17,456.111,1,2397.831325
18,456.389,1,2325.060241
19,456.667,1,2476.144578
20,456.945,1,2365.301205
21,457.222,1,2625.301205
22,457.5,1,2663.13253
23,457.778,1,2434.939759
24,458.056,1,2420
25,458.333,1,2339.277108
26,458.611,1,2352.771084
27,458.889,1,2448.433735
28,459.167,1,2409.879518
29,459.445,1,2355.662651
30,459.722,1,2226.506024
31,460,1,2343.373494
32,460.278,1,2373.975904
33,460.556,1,2133.73494
34,460.833,1,2150.361446
35,461.111,1,2221.686747
36,461.389,1,2215.421687
37,461.667,1,2132.048193
38,461.945,1,2122.409639
39,462.222,1,2151.325301
40,462.5,1,2150.361446
41,462.778,1,2103.614458
42,463.056,1,1871.807229
43,463.333,1,1968.192771
44,463.611,1,1984.819277
45,463.889,1,1879.518072
46,464.167,1,1715.662651
47,464.445,1,1764.337349
48,464.722,1,1781.204819
49,465,1,1766.746988
50,465.278,1,1707.46988
51,465.556,1,1716.144578
52,465.833,1,1709.879518
53,466.111,1,1764.096386
54,466.389,1,1689.638554
55,466.667,1,1664.578313
56,466.945,1,1576.86747
57,467.222,1,1552.771084
58,467.5,1,1524.337349
59,467.778,1,1524.337349
60,468.056,1,1498.313253
61,468.333,1,1383.855422
62,468.611,1,1276.626506
63,468.889,1,1379.277108
64,469.167,1,1291.566265
65,469.445,1,1292.289157
66,469.722,1,1193.253012
67,470,1,1345.542169
68,470.244,1,1269.638554
69,470.488,1,1220.722892
70,470.732,1,1121.445783
71,470.976,1,1146.26506
72,471.22,1,1059.036145
73,471.463,1,1044.337349
74,471.707,1,990.6024096
75,471.951,1,1009.156627
76,472.195,1,980.9638554
77,472.439,1,926.746988
78,472.683,1,897.3493976
79,472.927,1,948.1927711
80,473.171,1,827.4698795
81,473.415,1,856.8674699
82,473.659,1,831.8072289
83,473.902,1,800.2409639
84,474.146,1,692.7710843
85,474.39,1,732.7710843
86,474.634,1,726.746988
87,474.878,1,736.3855422
88,475.122,1,687.4698795
89,475.366,1,636.626506
90,475.61,1,594.6987952
91,475.854,1,585.7831325
92,476.098,1,588.4337349
93,476.342,1,519.5180723
94,476.585,1,508.6746988
95,476.829,1,451.8072289
96,477.073,1,398.313253
97,477.317,1,398.5542169
98,477.561,1,341.2048193
99,477.805,1,371.5662651
100,478.049,1,354.6987952
101,478.293,1,298.5542169
102,478.537,1,292.5301205
103,478.781,1,263.6144578
104,479.024,1,246.746988
105,479.268,1,247.7108434
106,479.512,1,214.2168675
107,479.756,1,221.686747
108,480,1,214.6987952
109,480.25,1,177.3493976
110,480.5,1,183.8554217
111,480.75,1,168.1927711
112,481,1,166.0240964
113,481.25,1,170.6024096
114,481.5,1,148.6746988
115,481.75,1,163.373494
116,482,1,145.3012048
117,482.25,1,125.060241
118,482.5,1,115.9036145
119,482.75,1,127.4698795
120,483,1,97.34939759
121,483.25,1,106.0240964
122,483.5,1,84.3373494
123,483.75,1,83.85542169
124,484,1,161.2048193
